id,louvain_label
ENSG00000200087,1
ENSG00000180098,3
ENSG00000197989,1
ENSG00000120656,0
ENSG00000162419,1
ENSG00000198492,0
ENSG00000116329,1
ENSG00000226852,1
ENSG00000159023,2
ENSG00000253304,0
ENSG00000116350,1
ENSG00000116353,1
ENSG00000060656,1
ENSG00000186056,3
ENSG00000162511,4
ENSG00000162512,1
ENSG00000134644,0
ENSG00000084628,3
ENSG00000060688,3
ENSG00000121766,0
ENSG00000121769,0
ENSG00000142910,4
ENSG00000162517,0
ENSG00000235790,2
ENSG00000084636,3
ENSG00000121753,1
ENSG00000269967,3
ENSG00000184007,3
ENSG00000212673,3
ENSG00000228634,3
ENSG00000121774,0
ENSG00000203325,2
ENSG00000121775,1
ENSG00000025800,0
ENSG00000084652,3
ENSG00000160050,1
ENSG00000160051,1
ENSG00000222046,2
ENSG00000160055,1
ENSG00000084623,0
ENSG00000220785,3
ENSG00000116478,3
ENSG00000175130,3
ENSG00000162526,2
ENSG00000225828,2
ENSG00000160058,1
ENSG00000273274,4
ENSG00000160062,0
ENSG00000176261,2
ENSG00000162521,0
ENSG00000162520,4
ENSG00000162522,1
ENSG00000134684,1
ENSG00000116497,3
ENSG00000160097,0
ENSG00000121905,1
ENSG00000121900,1
ENSG00000116514,0
ENSG00000004455,3
ENSG00000236065,2
ENSG00000142920,1
ENSG00000116525,3
ENSG00000160094,1
ENSG00000270115,2
ENSG00000134686,3
ENSG00000222112,2
ENSG00000121903,3
ENSG00000121904,2
ENSG00000176256,2
ENSG00000231163,2
ENSG00000163866,1
ENSG00000188910,2
ENSG00000187513,4
ENSG00000230163,2
ENSG00000116544,1
ENSG00000241014,2
ENSG00000163867,0
ENSG00000197056,4
ENSG00000116560,2
ENSG00000146463,0
ENSG00000229994,2
ENSG00000227409,2
ENSG00000142687,1
ENSG00000236274,2
ENSG00000020129,1
ENSG00000239636,2
ENSG00000116819,2
ENSG00000126067,0
ENSG00000142686,0
ENSG00000092853,0
ENSG00000134698,2
ENSG00000092847,2
ENSG00000271914,2
ENSG00000126070,3
ENSG00000271554,2
ENSG00000116863,1
ENSG00000171812,4
ENSG00000054116,0
ENSG00000116871,1
ENSG00000054118,0
ENSG00000214193,1
ENSG00000142694,1
ENSG00000116883,1
ENSG00000196182,1
ENSG00000181817,1
ENSG00000116885,0
ENSG00000116898,0
ENSG00000119535,4
ENSG00000163873,1
ENSG00000163875,0
ENSG00000163877,0
ENSG00000163879,4
ENSG00000134697,0
ENSG00000116922,0
ENSG00000134690,2
ENSG00000183317,1
ENSG00000185090,1
ENSG00000196449,0
ENSG00000197982,3
ENSG00000188786,3
ENSG00000204084,2
